Applicant_ID,Age,Marital_Status,Dependents,Education,Employment_Type,Income,Credit_Score,Loan_Amount,Loan_Term,Existing_Debts,Property_Area,Default
LN1000,40,Single,0.0,Graduate,Salaried,76500.0,900.0,1020000,36,5400.0,Semiurban,0
LN1001,27,Married,1.0,Not Graduate,Salaried,42000.0,717.0,562000,60,9500.0,Urban,0
LN1002,45,Married,1.0,Graduate,Business,89500.0,682.0,1211000,24,24700.0,Semiurban,0
LN1003,46,Divorced,3.0,Graduate,Self-Employed,52000.0,806.0,669000,84,3700.0,Semiurban,0
LN1004,21,Married,1.0,Not Graduate,Salaried,31000.0,545.0,481000,24,800.0,Rural,1
LN1005,24,Married,1.0,Not Graduate,Business,102500.0,702.0,1898000,360,28700.0,Rural,0
LN1006,38,Single,3.0,Not Graduate,Salaried,83500.0,870.0,553000,36,42200.0,Semiurban,0
LN1007,34,Married,1.0,Graduate,Salaried,42000.0,693.0,323000,120,9400.0,Semiurban,0
LN1008,37,Single,0.0,Graduate,Salaried,82000.0,589.0,288000,24,5200.0,Urban,1
LN1009,28,Married,0.0,Graduate,Unemployed,12500.0,552.0,240000,36,3200.0,Semiurban,1
LN1010,46,Married,0.0,Graduate,Self-Employed,33500.0,799.0,519000,60,,Rural,0
LN1011,45,Married,0.0,Graduate,Self-Employed,96000.0,,1635000,84,24800.0,Semiurban,0
LN1012,38,Married,1.0,Graduate,Salaried,28000.0,,152000,360,10900.0,Semiurban,0
LN1013,48,Married,2.0,Not Graduate,Salaried,87000.0,679.0,2150000,12,14500.0,Semiurban,1
LN1014,42,Married,2.0,Not Graduate,Self-Employed,40000.0,648.0,414000,12,15300.0,Rural,1
LN1015,28,Single,0.0,Not Graduate,Salaried,41000.0,723.0,615000,60,6600.0,Rural,0
LN1016,41,Married,1.0,Not Graduate,Business,69000.0,801.0,1320000,60,20300.0,Urban,0
LN1017,27,Married,0.0,Graduate,Self-Employed,64000.0,766.0,517000,240,13100.0,Urban,0
LN1018,46,Married,3.0,Graduate,Salaried,46000.0,749.0,493000,240,7800.0,Semiurban,0
LN1019,37,Married,0.0,Graduate,Self-Employed,76500.0,600.0,1153000,240,7200.0,Semiurban,1
LN1020,35,Married,,Not Graduate,Unemployed,16500.0,495.0,514000,36,500.0,Semiurban,1
LN1021,30,Single,0.0,Graduate,Salaried,32000.0,732.0,506000,60,2300.0,Urban,0
LN1022,49,Married,1.0,Graduate,Self-Employed,56000.0,,1324000,120,,Semiurban,1
LN1023,35,Single,1.0,Graduate,Business,130000.0,693.0,2760000,60,34800.0,Semiurban,1
LN1024,33,Divorced,2.0,Graduate,Salaried,134500.0,749.0,2180000,120,20900.0,Semiurban,0
LN1025,33,Married,0.0,Graduate,Business,92500.0,615.0,746000,36,14300.0,Semiurban,0
LN1026,42,Married,3.0,Not Graduate,Salaried,29500.0,625.0,601000,60,5100.0,Semiurban,1
LN1027,41,Married,1.0,Graduate,,71000.0,695.0,356000,180,3800.0,Semiurban,0
LN1028,41,Single,2.0,Graduate,Business,107000.0,749.0,2526000,36,,Rural,0
LN1029,41,Married,2.0,Not Graduate,Self-Employed,63500.0,779.0,965000,360,15300.0,Semiurban,0
LN1030,58,Single,3.0,Graduate,Salaried,,790.0,221000,60,19000.0,Semiurban,0
LN1031,33,Single,0.0,Not Graduate,Self-Employed,49500.0,,592000,12,7300.0,Semiurban,1
LN1032,32,Single,0.0,Graduate,Salaried,57500.0,651.0,1031000,36,8100.0,Urban,0
